epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,304.22,0.5636,0.63261,0.83507,0.97222,0.97214,0.9548,0.87955,0.43352,0.73527,0.7969,0.0011684,0.0011684,0.0011684
44,311.061,0.50019,0.58652,0.81593,0.9722,0.97132,0.96425,0.91037,0.40114,0.65353,0.79384,0.0011486,0.0011486,0.0011486
45,317.963,0.49777,0.58939,0.78347,0.97163,0.97222,0.96869,0.88392,0.45478,0.63101,0.79953,0.0011288,0.0011288,0.0011288
46,324.797,0.51554,0.54816,0.81803,0.97061,0.97222,0.96952,0.87909,0.47389,0.62479,0.80436,0.001109,0.001109,0.001109
47,331.557,0.56854,0.64546,0.82974,0.96979,0.97222,0.96813,0.87193,0.45039,0.65765,0.79873,0.0010892,0.0010892,0.0010892
48,338.386,0.57206,0.58236,0.82423,0.97013,0.97222,0.96813,0.88716,0.43239,0.66521,0.79569,0.0010694,0.0010694,0.0010694
49,345.169,0.49136,0.56271,0.79329,0.9704,0.97222,0.97119,0.89976,0.42753,0.60769,0.79411,0.0010496,0.0010496,0.0010496
50,351.89,0.48479,0.57104,0.82962,0.97011,0.97222,0.97202,0.90218,0.39784,0.56149,0.79605,0.0010298,0.0010298,0.0010298
51,358.654,0.44666,0.53018,0.78974,0.97004,0.97222,0.97119,0.89557,0.39927,0.53857,0.79796,0.00101,0.00101,0.00101
52,365.308,0.51356,0.53194,0.79844,0.97,0.97222,0.97036,0.91197,0.37891,0.56217,0.79247,0.0009902,0.0009902,0.0009902
53,372.257,0.50973,0.53118,0.80243,0.96959,0.97222,0.96813,0.88513,0.40164,0.57994,0.79319,0.0009704,0.0009704,0.0009704
54,379.021,0.44701,0.53569,0.81339,0.96858,0.97222,0.96869,0.87951,0.44454,0.60909,0.79951,0.0009506,0.0009506,0.0009506
55,385.726,0.50403,0.553,0.80985,0.96835,0.97222,0.96563,0.87536,0.43402,0.59448,0.7972,0.0009308,0.0009308,0.0009308
56,392.763,0.48313,0.52882,0.80768,0.96908,0.97222,0.9573,0.87795,0.42774,0.56669,0.79662,0.000911,0.000911,0.000911
57,399.362,0.4921,0.51936,0.80502,0.96961,0.97222,0.95258,0.89065,0.41131,0.53791,0.79423,0.0008912,0.0008912,0.0008912
58,406.151,0.50604,0.50662,0.81999,0.97031,0.97222,0.95119,0.89273,0.40397,0.52921,0.79452,0.0008714,0.0008714,0.0008714
59,412.852,0.47128,0.4775,0.78404,0.97067,0.97222,0.95425,0.88777,0.41798,0.52614,0.79452,0.0008516,0.0008516,0.0008516
60,419.611,0.49094,0.52269,0.83189,0.97218,0.97091,0.96341,0.90619,0.37979,0.53164,0.78726,0.0008318,0.0008318,0.0008318
61,426.481,0.48977,0.51763,0.82626,0.96936,0.94444,0.96774,0.90939,0.35653,0.58733,0.78535,0.000812,0.000812,0.000812
62,433.265,0.48267,0.53528,0.81597,0.96946,0.94444,0.9686,0.90515,0.3554,0.55489,0.78608,0.0007922,0.0007922,0.0007922
63,440.143,0.44231,0.5416,0.81725,0.97217,0.97038,0.97036,0.90541,0.36756,0.52059,0.78916,0.0007724,0.0007724,0.0007724
64,446.974,0.48833,0.51804,0.80572,0.97095,0.97222,0.97258,0.90602,0.40423,0.50164,0.79596,0.0007526,0.0007526,0.0007526
65,453.859,0.41805,0.48048,0.78536,0.97055,0.97222,0.97258,0.91293,0.40175,0.4779,0.79642,0.0007328,0.0007328,0.0007328
66,460.746,0.46857,0.46818,0.80777,0.97064,0.97222,0.97119,0.91318,0.37692,0.46379,0.79386,0.000713,0.000713,0.000713
67,467.687,0.46915,0.45647,0.79079,0.9707,0.97222,0.97036,0.90744,0.37499,0.46862,0.79284,0.0006932,0.0006932,0.0006932
68,474.412,0.4589,0.49403,0.80383,0.97075,0.97222,0.96953,0.90909,0.37315,0.46472,0.79176,0.0006734,0.0006734,0.0006734
69,481.192,0.47058,0.45631,0.80099,0.97084,0.97222,0.96814,0.91258,0.36956,0.46676,0.79277,0.0006536,0.0006536,0.0006536
70,488.071,0.45352,0.45543,0.78558,0.97093,0.97222,0.96564,0.89548,0.40423,0.47793,0.79919,0.0006338,0.0006338,0.0006338
71,494.917,0.45074,0.46012,0.79446,0.97104,0.97222,0.96509,0.89137,0.40508,0.47682,0.80017,0.000614,0.000614,0.000614
72,501.711,0.43821,0.46767,0.77787,0.97107,0.97222,0.96259,0.89912,0.37224,0.47159,0.79571,0.0005942,0.0005942,0.0005942
73,508.679,0.39927,0.42669,0.78131,0.97105,0.97222,0.9612,0.91588,0.37481,0.47839,0.79392,0.0005744,0.0005744,0.0005744
74,515.547,0.42237,0.42399,0.80167,0.9711,0.97222,0.95954,0.90798,0.38362,0.47364,0.79407,0.0005546,0.0005546,0.0005546
75,522.27,0.42138,0.43412,0.80658,0.97115,0.97222,0.96037,0.90217,0.38188,0.47267,0.79378,0.0005348,0.0005348,0.0005348
76,529.085,0.45342,0.45483,0.81485,0.97096,0.97222,0.96343,0.90566,0.38068,0.48253,0.7956,0.000515,0.000515,0.000515
77,535.925,0.44229,0.41567,0.80975,0.97076,0.97222,0.96343,0.90153,0.38887,0.48337,0.79813,0.0004952,0.0004952,0.0004952
78,542.779,0.48457,0.44961,0.81321,0.97065,0.97222,0.9651,0.91925,0.40022,0.48404,0.79774,0.0004754,0.0004754,0.0004754
79,549.597,0.39793,0.42989,0.80237,0.97058,0.97222,0.96565,0.90603,0.4066,0.48095,0.79836,0.0004556,0.0004556,0.0004556
80,556.638,0.44533,0.46941,0.82591,0.97068,0.97222,0.96565,0.89889,0.40914,0.47467,0.79946,0.0004358,0.0004358,0.0004358
81,563.553,0.43045,0.44198,0.78297,0.97067,0.97222,0.96649,0.89921,0.4155,0.47404,0.7999,0.000416,0.000416,0.000416
82,570.526,0.41652,0.43337,0.82548,0.9707,0.97222,0.96871,0.90175,0.39143,0.46445,0.79712,0.0003962,0.0003962,0.0003962
83,577.338,0.44426,0.43015,0.78614,0.97073,0.97222,0.97121,0.91304,0.36881,0.45044,0.79281,0.0003764,0.0003764,0.0003764
84,584.534,0.41257,0.42793,0.79267,0.97071,0.97222,0.97121,0.92467,0.36442,0.44452,0.79103,0.0003566,0.0003566,0.0003566
85,591.349,0.39915,0.41411,0.78185,0.97066,0.97222,0.97204,0.92448,0.37226,0.44268,0.79241,0.0003368,0.0003368,0.0003368
86,598.308,0.41021,0.42139,0.78756,0.97057,0.97222,0.97121,0.92084,0.37797,0.44034,0.79303,0.000317,0.000317,0.000317
87,605.221,0.39618,0.39346,0.77662,0.97049,0.97222,0.97038,0.91955,0.37716,0.4435,0.79346,0.0002972,0.0002972,0.0002972
88,612.115,0.38939,0.39618,0.79891,0.97045,0.97222,0.97038,0.92289,0.3719,0.43967,0.793,0.0002774,0.0002774,0.0002774
89,619.068,0.40688,0.40442,0.81487,0.97045,0.97222,0.96815,0.91618,0.37506,0.44108,0.79312,0.0002576,0.0002576,0.0002576
90,626.375,0.42826,0.41272,0.8019,0.97048,0.97222,0.96649,0.90801,0.38017,0.4373,0.79312,0.0002378,0.0002378,0.0002378
91,633.342,0.3738,0.48622,0.80034,0.97043,0.97222,0.96732,0.90477,0.3813,0.43932,0.79267,0.000218,0.000218,0.000218
92,640.057,0.3673,0.46059,0.77717,0.97044,0.97222,0.96565,0.91328,0.372,0.43665,0.79126,0.0001982,0.0001982,0.0001982
93,646.749,0.36851,0.44545,0.77766,0.97045,0.97222,0.96565,0.913,0.36771,0.43887,0.79081,0.0001784,0.0001784,0.0001784
94,653.515,0.36105,0.44586,0.77891,0.97048,0.97222,0.9651,0.91283,0.36402,0.44471,0.79075,0.0001586,0.0001586,0.0001586
95,660.448,0.35073,0.44303,0.79111,0.97053,0.97222,0.96426,0.91038,0.36281,0.44348,0.79058,0.0001388,0.0001388,0.0001388
96,667.424,0.3488,0.43946,0.79074,0.97053,0.97222,0.96343,0.9073,0.36043,0.43951,0.79044,0.000119,0.000119,0.000119
97,674.168,0.33195,0.4321,0.79133,0.97055,0.97222,0.9626,0.91481,0.35952,0.43449,0.79066,9.92e-05,9.92e-05,9.92e-05
98,680.799,0.35074,0.41528,0.78365,0.97057,0.97222,0.96343,0.9158,0.35754,0.42883,0.79134,7.94e-05,7.94e-05,7.94e-05
99,687.715,0.33852,0.4343,0.76706,0.9706,0.97222,0.96343,0.91547,0.35829,0.42419,0.79159,5.96e-05,5.96e-05,5.96e-05
100,694.315,0.31576,0.3938,0.79714,0.9706,0.97222,0.96343,0.91577,0.35875,0.42223,0.79167,3.98e-05,3.98e-05,3.98e-05
